stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,chip_concentration_pct,chip_concentration_pct_t0,chip_concentration_pct_t1,chip_concentration_pct_t2,chip_date_t0,chip_date_t1,chip_date_t2,chip_concentration_score,main_force_net,main_force_net_t0,main_force_net_t1,main_force_net_t2,main_force_score,broker_diff,broker_diff_t0,broker_diff_t1,broker_diff_t2,broker_diff_score,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2059,川湖,3,15.0,2026-06-10,3,1.07,1.07,0.94,21.98,2026-06-10,2026-06-09,2026-06-08,0.5,19421,19421,39249,249017,1.0,63,63,-44,-586,-0.5,bullish_distributed,主力連3買但買賣家數差偏正，可能偏分散,2026-06-10 10:21:30,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:43
2233,宇隆,3,15.0,2026-06-10,3,1.91,1.91,2.35,0.43,2026-06-10,2026-06-09,2026-06-08,0.0,36238,36238,-65195,-10525,-0.5,44,44,46,122,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:21:31,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:43
2301,光寶科,3,15.0,2026-06-10,3,0.04,0.04,0.36,0.92,2026-06-10,2026-06-09,2026-06-08,0.0,30460,30460,219654,-426614,0.5,24,24,33,28,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:21:32,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:47
2308,台達電,3,15.0,2026-06-10,3,2.44,2.44,2.99,2.8,2026-06-10,2026-06-09,2026-06-08,0.0,-914526,-914526,929840,-836323,-0.5,42,42,-8,29,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:21:35,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:51
2313,華通,3,15.0,2026-06-10,3,0.75,0.75,4.58,0.11,2026-06-10,2026-06-09,2026-06-08,0.0,-1288514,-1288514,6670082,103162,0.5,5,5,1,3,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:21:43,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:01
2317,鴻海,3,15.0,2026-06-10,3,2.46,2.46,0.7,1.04,2026-06-10,2026-06-09,2026-06-08,0.0,-4270561,-4270561,-1035894,-2443209,-1.0,12,12,7,2,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:21:43,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:59
2327,國巨*,3,15.0,2026-06-10,3,0.18,0.18,8.41,1.5,2026-06-10,2026-06-09,2026-06-08,0.0,355613,355613,8451046,-788920,0.5,0,0,-11,23,0.0,neutral,籌碼震盪，方向未定,2026-06-10 10:21:43,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:01
2330,台積電,3,15.0,2026-06-10,3,4.52,4.52,12.19,2.61,2026-06-10,2026-06-09,2026-06-08,0.0,-4580246,-4580246,-8844005,-2723684,-1.0,18,18,31,7,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:21:45,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:59
2360,致茂,3,15.0,2026-06-10,3,0.11,0.11,0.31,3.75,2026-06-10,2026-06-09,2026-06-08,0.0,7130,7130,19999,-235585,0.5,288,288,324,203,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:21:48,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:00
2368,金像電,3,15.0,2026-06-10,3,0.95,0.95,4.52,0.62,2026-06-10,2026-06-09,2026-06-08,0.0,186261,186261,1085553,-72662,0.5,3,3,-92,-7,-0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:21:51,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:05
